name,github_slug,main_repo,homepage,language,domains,loc_estimate,fuzzing_engines,sanitizers,fuzz_target_count,has_dockerfile,has_asan,has_coverage,build_system,quality_score,apt_packages,nvd_cve_count,nvd_mean_cvss,nvd_cwes,github_stars
firefox,,https://hg.mozilla.org/mozilla-central/,https://www.mozilla.org/firefox/,c++,uncategorized,,libfuzzer,address,10,Yes,Yes,Yes,cargo,3,software-properties-common | cmake | gawk | git | libstdc++6 | nasm | python | python3-pip | python3-setuptools | python3-wheel | libasound2 | libatk1.0-0 | libc6 | libcairo-gobject2 | libcairo2 | libdbus-1-3 | libdbus-glib-1-2 | libffi7 | libfontconfig1 | libfreetype6 | libgcc-s1 | libgdk-pixbuf2.0-0 | libglib2.0-0 | libgtk-3-0 | libharfbuzz0b | libpango-1.0-0 | libpangocairo-1.0-0 | libpangoft2-1.0-0 | libx11-6 | libx11-xcb1 | libxcb-shm0 | libxcb1 | libxcomposite1 | libxcursor1 | libxdamage1 | libxext6 | libxfixes3 | libxi6 | libxrandr2 | libxrender1 | libxt6 | libxtst6 | lsb-release | libcanberra0 | libdbusmenu-glib4 | libdbusmenu-gtk3-4,1718,7.04,CWE-264 | CWE-59 | CWE-94 | CWE-20 | CWE-399 | CWE-189 | CWE-79 | CWE-119 | CWE-88 | CWE-200,
gateway,envoyproxy/gateway,https://github.com/envoyproxy/gateway.git,https://gateway.envoyproxy.io/,go,database,143615,libfuzzer,address,0,Yes,Yes,No,,2,btrfs-progs | libbtrfs-dev,1193,6.53,CWE-119 | CWE-16 | CWE-312 | CWE-200 | CWE-310 | CWE-264 | CWE-287 | CWE-22 | CWE-79 | CWE-20,2574
php,php/php-src,https://github.com/php/php-src.git,http://php.net/,c++,language-runtime,2395544,afl | honggfuzz | libfuzzer,address | undefined | memory,4,Yes,Yes,No,make,2,autoconf | automake | libtool | bison | re2c | pkg-config,1031,6.11,CWE-88 | CWE-665 | CWE-264 | CWE-425 | CWE-312 | CWE-178 | CWE-94 | CWE-79 | CWE-200 | CWE-399,39972
git,git/git,https://github.com/git/git,https://git-scm.com,c++,data-parsing | crypto | networking,496135,libfuzzer | afl,,0,Yes,No,No,make,1,cvs | cvsps | gettext | libcgi-pm-perl | libcurl4-gnutls-dev | libdbd-sqlite3-perl | liberror-perl | libexpat1-dev | libhttp-date-perl | libio-pty-perl | libmailtools-perl | libpcre2-dev | libpcre3-dev | libsvn-perl | perl-modules | libyaml-perl | libz-dev | python | subversion | tcl | unzip | asciidoc | docbook-xsl | xmlto | libssl-dev | zip,969,5.61,CWE-119 | CWE-94 | CWE-78 | CWE-264 | CWE-399 | CWE-20 | CWE-787 | CWE-79 | CWE-22 | CWE-913,59777
lit,lit/lit,https://github.com/lit/lit,https://lit.dev/,javascript,web-runtime,125312,libfuzzer,none,0,Yes,No,No,make,1,,894,6.42,CWE-178 | CWE-200 | CWE-20 | CWE-94 | CWE-89 | CWE-119 | CWE-79 | CWE-134 | CWE-22 | CWE-352,21326
expr,expr-lang/expr,https://github.com/expr-lang/expr.git,https://github.com/expr-lang/expr,go,uncategorized,24780,libfuzzer,address,0,Yes,Yes,No,,2,,725,6.4,CWE-295 | CWE-264 | CWE-200 | CWE-255 | CWE-434 | CWE-399 | CWE-119 | CWE-89 | CWE-79 | CWE-310,7738
imagemagick,imagemagick/imagemagick,https://github.com/imagemagick/imagemagick,https://www.imagemagick.org,c++,image-parsing,851867,,address | memory | undefined,0,Yes,Yes,No,,2,make | autoconf | automake | groff | libtool | pkg-config | cmake | nasm | autopoint,707,6.11,CWE-134 | CWE-189 | CWE-119 | CWE-399 | CWE-681 | CWE-20 | CWE-835 | CWE-125 | CWE-400 | CWE-190,15957
wireshark,,https://gitlab.com/wireshark/wireshark,https://www.wireshark.org,c++,crypto | networking,,libfuzzer | honggfuzz | afl,,0,Yes,No,No,cmake,1,ninja-build | cmake | flex | libc-ares-dev | libglib2.0-dev | libgcrypt20-dev,690,5.63,CWE-399 | CWE-134 | CWE-189 | CWE-193 | CWE-617 | CWE-20 | CWE-119 | CWE-264 | CWE-200 | CWE-835,
xen,,https://xenbits.xen.org/git-http/xen.git,https://xenproject.org,c,uncategorized,,libfuzzer,address | undefined,0,Yes,Yes,No,,2,,564,5.99,CWE-264 | CWE-787 | CWE-20 | CWE-59 | CWE-119 | CWE-79 | CWE-399 | CWE-89 | CWE-352 | CWE-94,
qemu,,https://git.qemu.org/git/qemu.git,https://www.qemu.org/,c,compression,,libfuzzer,address | undefined,0,Yes,Yes,No,,2,make | autoconf | automake | libtool | ninja-build | libfdt-dev | libpixman-1-dev | zlib1g-dev | libslirp-dev | patchelf | libattr1 | libattr1-dev | libcap-ng-dev | pkg-config,550,5.16,CWE-264 | CWE-787 | CWE-119 | CWE-200 | CWE-59 | CWE-399 | CWE-189 | CWE-416 | CWE-20 | CWE-287,
flex,westes/flex,https://github.com/westes/flex,https://github.com/westes/flex,c,system,17973,afl | honggfuzz | libfuzzer,,2,Yes,No,No,make,1,make | autoconf | automake | libtool | gettext | help2man | bison | autopoint | lzip | texinfo | texlive | flex,542,6.21,CWE-119 | CWE-89 | CWE-79 | CWE-94 | CWE-20 | CWE-200 | CWE-22 | CWE-287 | CWE-264 | CWE-352,3991
ruby,ruby/ruby,https://github.com/ruby/ruby,https://www.ruby-lang.org/en/,c++,data-parsing | crypto | compression | language-runtime,1190813,afl | honggfuzz | libfuzzer,address | undefined,4,Yes,Yes,No,make,2,libssl-dev | libyaml-dev | zlib1g-dev | ruby | ruby-dev | autoconf | automake | libtool | bison,513,6.52,CWE-94 | CWE-399 | CWE-79 | CWE-287 | CWE-200 | CWE-362 | CWE-134 | CWE-22 | CWE-189 | CWE-190,23519
ffmpeg,FFmpeg/FFmpeg,https://github.com/FFmpeg/FFmpeg,https://www.ffmpeg.org,c++,media-codec,1614264,afl | honggfuzz | libfuzzer,address,2,Yes,Yes,No,make,2,nasm | pkg-config | rsync | libtool | gperf,488,6.87,CWE-119 | CWE-20 | CWE-399 | CWE-189 | CWE-94 | CWE-191 | CWE-120 | CWE-17 | CWE-362 | CWE-200,58042
tensorflow,tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,https://www.tensorflow.org,c++,uncategorized,3844674,libfuzzer,fuzzer,0,Yes,No,Yes,make,1,rsync,436,4.76,CWE-476 | CWE-119 | CWE-20 | CWE-190 | CWE-122 | CWE-681 | CWE-754 | CWE-125 | CWE-252 | CWE-908,194227
qt,,git://code.qt.io/qt/qt5.git,http://qt-project.org,c++,crypto,,honggfuzz | libfuzzer,,0,Yes,No,No,,1,libssl-dev | ninja-build,411,6.47,CWE-189 | CWE-89 | CWE-119 | CWE-20 | CWE-94 | CWE-79 | CWE-787 | CWE-264 | CWE-200 | CWE-310,
